QUEST,STYPE,LANG,QF,Q1,Q2,Q3A,Q3B,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,USER,Q6A,Q6B,Q7A,Q7B,Q7C,Q7D,Q7E,Q8A,Q8B,Q9A,Q9B,Q9C,Q9D,Q9E,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20M1,Q20M2,Q20M3,Q21,Q22,Q23,Q24,AGE_COL,REGION,WEIGHT
39932,1,FR,5,3,7,5,7, ,4,3,2,2,4,3,4,3,3,2,1,2, ,5,5,7,5, ,4,4,1,1,1,1,1,3,3,2,1,2,2, ,1955,7,2,2, , ,2,2,2,4,4,2,0.869944987
40150,1,FR,5,2,5,7,7, ,1,6,1,2,3,3,2,3,2,2,1,1, ,7,4,4,6, ,4,4,1,1,1,1,1,2,3,1,2,1,1,1,9999,4,2,2, , ,2,1, ,3,3,2,0.853296791
40197,1,EN,10,3,7,5,3, ,5,6,2,2,3,2,4,2,2,2,1, ,3,6,6,7, ,6,3,3,1,1,1,2,2,3,1,1,2,3,2, ,1973,5,2,3, , ,2,2,2,6,3,5,0.743986141
40380,1,EN,9,1,7,7,7,5, ,5,2,2,2,2,2,3,2,3,2, , , , , , , , , , , ,1,2,2, , ,2,2,1,2, ,1944,7,1,1, , ,2,2,2,2,4,4,0.520980832
40618,2,FR,5,2,7,5,1, ,4,1,2,4,4,4,4,4,4,2,1,1, ,7,7,7,7, ,4,3,1,2,1,1,1,2,1,1,2,1,2, ,1979,4,2,2, , ,2,2,2,4,3,2,0.853296791
40701,2,EN,6,2,6,1,3,2, ,3,2,2,4,4,3,4,3,3,1,1, ,1,3,3,2, ,4,1,1,1,1,2,1,2,1,2,2,1,2, ,1966,6,2,1, , ,2,2,2,1,4,3,1.209473778
40778,2,EN,8,2,7,4,7,1, ,2,2,1,2,4,4,4,2,2,1, ,1,5,7,7, ,5,4,2,1,1,1,1,2,2,88,1,1,1,2, ,1998,2,2,1, , ,2,2,2,4,1,4,1.058896163
40937,2,FR,5,2,7,6,6,5, ,7,1,2,3,4,4,4,2,2,1,1, ,5,5,6,5, ,4,2,1,1,1,98,98,1, ,2,1,1,2, ,1984,4,1,2, , ,2,2,2,6,3,2,1.000685055
41174,1,EN,9,1,7,6,5,6, ,5,2,4,4,2,4,4,3,4,1,1, ,7,7,7, ,98,4,4,1,2,1,2,2,2,1,2,1,1,2, ,1951,7,1,1, , ,1,2,2,2,4,4,0.520980832
41405,1,FR,5,1,1,7,7,7, ,1,2,3,4,2,3,4,3,1,1,3, ,7,5,7,7, ,4,4,2,1,1,2,2,2,1,2,4,3,2, ,9999,7,1,2, , ,2,2,2,2,4,2,0.838231238
41412,2,FR,5,3,5,3,3,2, ,2,1,4,4,4,4,4,2,2,1, ,2,6,4,6, ,6,3,3,1,1,1,1,1,2,3,1,3,3,2, ,1973,5,2,2, , ,2,2,2,3,3,2,0.853296791
41483,1,EN,6,2,6,3,4, ,1,4,1,1,3,4,3,3,3,4,1,1, ,7,6,6,7, ,4,3,1,1,1,1,1,2,26,1,2,1,1,26,1962,6,2,1, , ,1,2,2,3,4,3,1.209473778
41969,2,FR,5,2,4,3,3, ,5,5,2,2,3,2,4,3,2,1,1,2, ,2,3,5,4, ,4,4,2,1,1,2,1,2,3,2,4,3,1,2,2003,2,2,1, , ,2,2,2,4,1,2,1.208742895
42024,2,EN,6,1,7,5,6, ,5,5,2,2,4,3,4,3,2,2,1,1, ,4,4,2,6, ,4,4,1,2,1,2,2,2,2,2,3,1,2, ,1946,7,1,1, , ,2,2,2,6,4,3,1.191530466
42203,2,EN,6,2,6,4,4, ,2,2,2,3,2,3,4,2,2,2,1,2, ,7,7,4,2, ,4,4,1,2,2,2,2,2,1,1,2,3,2, ,1983,4,1,1, , ,2,2,2,7,3,3,1.470244686
42264,1,EN,8,2,4,4,4,5, ,5,2,2,2,2,4,3,1,2,1, ,98,5,5,7, ,7,4,4,2,2,2,2,2,2,1,2,4,98,1,1,1940,7,1,1, , ,2,2,2,1,4,4,0.520980832
42274,2,EN,10,2,5,3,3, ,5,6,1,1,2,3,3,2,1,1,1, ,4,1,3,7, ,3,98,1,1,2,2,2,2,2,20,1,1,3,1,2,1984,4,1,1, , ,2,2,2,6,3,5,1.068919838
42292,2,EN,6,2,5,4,4, ,5,5,2,1,2,2,4,4,1,1,1,2, ,6,6,7,4, ,1,1,1,2,1,1,2,2,1,1,3,1,1,2,1994,3,1,1, , ,2,2,2,7,2,3,2.188165041
42333,2,EN,8,4,7,4,4, ,6,1,2,1,2,1,4,2,98,1,1, ,1,7,7,6,3, ,4,4,1,2,2,2,1,2,1,1,3,3,2, ,1987,4,1,1, , ,2,1, ,2,3,4,0.812216396
42552,2,EN,6,2,1,2,2, ,1,3,2,2,4,4,4,4,2,2,1, ,1,6,3,6, ,2,2,2,1,1,1,1,2,2,3,1,2,1,2, ,1979,4,2,1, , ,2,2,2,4,3,3,1.312715615
42573,2,EN,6,2,7,7,5, ,4,3,1,1,3,3,4,3,3,2,1, ,1,7,7,7, ,7,2,4,1,2,1,1,2,2,1,1,2,1,2, ,1965,6,1,1, , ,1,2,2,4,4,3,1.191530466
42763,2,FR,5,3,5,2,2, ,3,7,2,3,3,3,3,3,3,3,1, ,2,5,2,2, ,5,4,4,1,1,1,1,2,2,1,2,1,1,2, ,2001,2,2,2, , ,2,2,2,2,1,2,1.208742895
42783,2,FR,5,1,7,7,7, ,6,6,1,2,3,4,4,3,2,3,1, ,3,7,7,7, ,7,4,2,1,1,1,1,2,2,20,1,1,3,2, ,1954,7,1,2, , ,2,2,2,7,4,2,0.838231238
42845,2,EN,10,2,7,5,5, ,6,5,2,1,2,3,4,3,1,1,1, ,5,7,3,7, ,1,4,2,1,1,1,1,2,2,23,1,1,3,1,88,1958,6,1,1, , ,2,2,2,7,4,5,0.963680978
42875,1,FR,5,2,7,4,4,2, ,4,2,2,3,2,4,3,2,3,1,1, ,7,7,6,4, ,4,4,1,1,1,1,2,2,23,1,1,3,2, ,1972,5,1,2, , ,2,2,2,6,3,2,1.000685055
42977,2,EN,10,3,5,3,5,3, ,5,2,2,3,4,4,4,1,1,1,1, ,7,6,2,2, ,4,3,1,1,1,1,2,3,1,2,3,3,2, ,1992,3,2,1, , ,2,2,2,6,2,5,0.980040714
43320,2,EN,9,2,6,4,2,5, ,3,1,2,2,3,3,3,1,1,1,2, ,7,2,6,5, ,2,3,1,2,2,2,2,2,26,1,2,1,2, ,1950,7,1,1, , ,1,2,2,2,4,4,0.520980832
43327,1,EN,3,2,7,4,5, ,3,2,2,2,4,4,4,4,2,1,1, ,3,7,7,6, ,7,4,2,1,1,1,2,1,3,2,1,2,1,2, ,1946,7,2,1, , ,2,2,2,7,4,1,0.378719786
43389,2,FR,5,3,7,3,6,7, ,6,1,1,2,2,4,2,1,1,1, ,3,6,1,7, ,1,4,3,1,2,1,1,1,2,2,1,3,3,2, ,1986,4,1,2, , ,2,2,1,6,3,2,1.000685055
43523,2,EN,6,4,6,4,1, ,6,1,2,3,2,3,4,2,1,2,1, ,4,1,3,7, ,1,3,1,1,2,2,2,2,3,3,1,2,3,2, ,1968,5,1,1, , ,2,2,2,7,3,3,1.470244686
43667,2,FR,5,1,5,5,5,5, ,7,2,2,3,2,3,2,2,2,1,4, ,6,5,5,5, ,1,1,2,2,2,2,2,3,24,2,4,3,2, ,1953,7,2,2, , ,2,2,2,2,4,2,0.869944987
43711,2,EN,6,2,5,3,3, ,7,4,1,1,3,3,3,2,1,1,1, ,4,6,2,3, ,1,2,1,1,2,1,2,2,3,1,2,3,3,2, ,1964,6,2,1, , ,2,2,2,6,4,3,1.209473778
43767,2,EN,10,3,4,2,5,1, ,7,1,2,4,4,4,4,1,1,1, ,2,7,6,6, ,2,4,3,1,1,1,2,1,3,2,1,1,3,2, ,1990,3,2,3, , ,2,2,2,6,2,5,0.980040714
43869,2,EN,6,3,5,5,5,2, ,2,1,2,3,2,3,3,3,2,1,1, ,6,4,4,5, ,1,2,2,2,1,2,2,2,1,2,2,3,2, ,1963,6,1,1, , ,2,2,2,4,4,3,1.191530466
43871,2,EN,6,3,7,4,4, ,3,1,2,2,3,3,3,4,2,2,1,1, ,5,6,7,4, ,3,2,1,1,1,2,2,3,1,2,1,3,2, ,9999,4,1,3, , ,2,2,2,4,3,3,1.470244686
43958,1,EN,6,1,7,7,7,7, ,5,98,2,2,2,98,2,2,2,1, ,2,4,4,4,1, ,4,3,97,97,1,2,2,3,3,2,1,3,2, ,1942,7,1,1, , ,1,2,2,7,4,3,1.191530466
43990,2,EN,5,2,5,4,2,2, ,6,1,1,4,2,4,2,1,1,1,1, ,1,1,6,1, ,3,2,1,2,2,1,2,2,25,1,3,2,2, ,1982,4,2,1, , ,2,2,2,4,3,2,0.853296791
44048,2,EN,9,3,5,4,5, ,6,5,1,1,3,3,3,1,1,1,1, ,3,5,4,4, ,6,4,3,1,2,1,2,1,2,88,2,4,1,2, ,1987,4,1,3, , ,2,2,2,6,3,4,0.812216396
44089,1,EN,8,4,7,6,7,1, ,1,1,2,3,3,3,2,3,2,1, ,5,1,1,7, ,1,4,4,2,2,2,2,2,3,21,2,3,3,2, ,1953,7,1,1, , ,2,2,2,2,4,4,0.520980832
44309,2,FR,5,1,5,3,1,3, ,5,2,3,3,3,4,3,1,2,1,3, ,7,4,7,3, ,4,3,2,1,1,2,2,3,1,2,3,1,2, ,1958,6,1,2, , ,2,2,2,2,4,2,0.838231238
44321,2,EN,6,3,7,3,6, ,5,7,1,1,4,3,3,2,4,1,1,1, ,3,3,7,3, ,4,4,1,1,1,2,2,2,23,1,1,1,2, ,9999,4,2,1, , ,2,2,1,7,3,3,1.312715615
44577,2,FR,5,2,7,4,4,5, ,2,2,2,2,4,2,1,2,1,1,1, ,6,5,7,7, ,4,2,1,2,1,1,2,2,3,1,3,1,2, ,9999,5,2,2, , ,2,2,2,4,3,2,0.853296791
44590,1,EN,9,2,5,5,5, ,5,5,2,2,2,2,3,2,1,2,1, ,3,6,4,5, ,5,4,3,1,2,2,2,2,2,88,2,2,3,2, ,1948,7,1,1, , ,2,2,2,5,4,4,0.520980832
44614,2,FR,5,3,6,5,5, ,4,5,1,1,2,2,3,3,1,1,1,1, ,4,6,7,4, ,2,1,1,2,1,1,2,3,1,1,3,3,1,23,1974,5,1,2, , ,2,2,2,5,3,2,1.000685055
44986,2,FR,5,1,7,5,5, ,3,7,2,4,4,4,4,4,3,2,1, ,3,7,7,5, ,7,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1952,7,2,2, , ,2,2,2,4,4,2,0.869944987
45059,2,EN,6,2,5,4,4,5, ,4,1,1,3,2,4,2,2,1,1,3, ,4,2,7,3, ,2,2,1,1,1,1,1,2,2,2,2,3,1,2,1950,7,2,1, , ,1,2,2,4,4,3,1.209473778
45220,2,FR,5,3,6,5,5, ,6,6,1,1,2,2,3,2,1,1,1,3, ,2,2,7,1, ,2,3,1,1,1,2,2,2,3,2,4,2,2, ,2000,2,2,2,1, ,2,2,2,2,1,2,1.208742895
45238,2,FR,5,3,5,4,4, ,6,5,2,2,2,2,3,2,2,2,1, ,2,4,4,4, ,4,3,3,1,1,1,2,1,2,1,2,3,3,2, ,1985,4,1,2, , ,2,2,2,3,3,2,1.000685055
45287,2,EN,9,2,7,4,3, ,7,3,1,1,2,2,3,2,3,1,1,2, ,7,4,7,4, ,3,2,1,1,2,2,2,2,23,2,2,3,2, ,1950,7,1,1, , ,2,1, ,3,4,4,0.520980832
45291,1,FR,5,2,5,4,5, ,6,6,1,2,2,2,98,2,2,2,1, ,5,2,5,3, ,3,2,97,2,2,2,2,2,3,3,2,4,3,2, ,1952,7,2,2, , ,2,2,2,1,4,2,0.869944987
45328,2,EN,6,2,5,5,4,3, ,4,2,3,3,2,4,3,2,2,1,1, ,6,7,7,1, ,2,2,1,2,1,2,2,2,1,2,2,3,1,1,1974,5,1,1, , ,2,2,2,7,3,3,1.470244686
45644,2,EN,9,2,7,4,4, ,5,3,98,2,2,3,4,3,1,1,1, ,4,7,4,7, ,2,4,1,1,1,1,2,2,2,2,2,1,3,1,2,1962,6,1,1, , ,2,2,2,4,4,4,0.520980832
45734,2,EN,6,2,6,6,6,6, ,6,1,2,2,2,2,2,2,1,1,2, ,5,6,6,6, ,3,2,2,2,2,2,2,2,1,2,2,1,1,98,1984,4,1,3, , ,2,2,1,6,3,3,1.470244686
45951,2,EN,9,3,6,2,2, ,4,1,2,1,3,2,4,3,1,2,1, ,3,7,4,3, ,6,2,3,1,1,1,2,2,2,1,1,2,1,2, ,1991,3,2,1, , ,2,2,2,7,2,4,0.928079339
45973,1,EN,3,3,2,7,7,1, ,7,1,1,1,1,4,4,1,1,1,1, ,7,5,7,1, ,1,1,2,2,2,2,2,3,1,2,4,3,2, ,1960,6,2,1, , ,2,2,2,4,4,1,0.378719786
46024,2,EN,9,4,5,3,5, ,5,6,1,3,2,4,4,3,2,2,1, ,1,7,6,6, ,6,4,4,1,2,2,2,2,3,26,1,2,2,2, ,1997,3,2,1, , ,2,2,1,4,2,4,0.928079339
46103,2,EN,6,2,6,6,6,3, ,4,1,2,3,3,4,2,2,2,1,1, ,7,7,5,4, ,3,2,97,97,1,1,1,2,23,1,1,1,2, ,1941,7,2,1, , ,2,2,2,7,4,3,1.209473778
46177,2,EN,1,1,7,3,4,4, ,1,1,2,2,3,3,2,2,3,1, ,3,7,7,7, ,5,3,4,1,1,1,1,1,1, ,1,3,1,2, ,1947,7,1,1, , ,2,2,2,2,4,1,0.368967875
46259,2,EN,6,3,5,4,4,5, ,4,2,2,4,3,4,4,1,2,1,3, ,7,7,7,7, ,4,4,2,1,1,2,2,3,21,1,1,3,2, ,1949,7,2,1, , ,2,2,2,4,4,3,1.209473778
46277,2,EN,5,2,4,4,1,5, ,6,1,1,2,2,4,3,1,1,1,1, ,1,2,7,1, ,1,2,1,2,1,2,2,3,1,1,2,3,2, ,1971,5,2,1, , ,2,2,2,4,3,2,0.853296791
46422,2,FR,5,3,5,4,5,6, ,6,1,2,2,2,3,2,2,2,1,2, ,4,4,4,4, ,2,3,1,2,2,2,2,2,3,2,1,1,2, ,1976,5,1,2, , ,2,2,2,3,3,2,1.000685055
46474,1,EN,6,2,5,3,5, ,5,5,2,2,3,2,3,3,2,2,1, ,98,7,7,7, ,5,4,4,1,2,2,2,2,2,20,2,3,3,2, ,1946,7,1,1, , ,2,2,2,2,4,3,1.191530466
46650,2,EN,10,3,3,3,5, ,7,6,1,1,2,2,3,2,2,1,1,1, ,7,7,7,7, ,4,1,1,97,97,97,2,3,1,2,3,3,2, ,1997,3,2,1, , ,2,1, ,1,2,5,0.980040714
46719,2,EN,5,2,7,3,3,2, ,2,2,2,3,2,3,3,2,2,1,2, ,6,6,6,4, ,2,1,99,99,99,99,99,99, ,99,99,99,99, ,9999,99,99,9, , ,99,99,99,99,9,2,1
46778,2,EN,9,2,6,5,4,4, ,5,1,2,4,3,4,2,2,1,1,1, ,5,6,7,5, ,2,3,1,1,1,2,2,2,1,1,2,3,2, ,1978,4,2,1, , ,2,2,2,7,3,4,0.808889158
46823,2,EN,6,2,1,5,5, ,5,2,2,2,3,3,3,3,2,2,1, ,3,7,7,4, ,4,3,3,1,1,1,2,2,1, ,1,4,1,2, ,9999,99,2,1, , ,2,2,99,99,9,3,1
47365,2,FR,5,2,7,4,4,2, ,6,2,2,2,3,4,4,2,2,1,2, ,7,5,7,6, ,4,4,2,1,1,1,1,3,24,2,1,1,2, ,1964,6,1,2, , ,1,2,2,4,4,2,0.838231238
47472,2,EN,6,3,4,3,5,6, ,5,2,1,2,3,4,4,1,1,1,1, ,5,7,7,7, ,2,2,1,2,2,2,1,3,1,2,3,3,2, ,9999,3,2,3, , ,2,2,1,6,2,3,1.501658467
47537,2,FR,4,4,7,3,3, ,98,3,1,3,3,2,4,4,3,2,1,98, ,7,7,5, ,1,4,1,97,1,1,1,1,3,1,1,4,3,98, ,1970,5,1,2, , ,2,2,2,7,3,1,0.47441061
47635,2,EN,6,1,7,3,3, ,1,4,1,3,2,2,2,2,1,3,1, ,1,6,4,4, ,7,4,4,1,2,1,2,2,2,1,2,2,1,2, ,1997,3,2,1, , ,1,2,1,5,2,3,1.501658467
47871,1,EN,4,3,7,4,6, ,5,7,98,1,98,98,98,98,2,1,2, , , , , , , , , , , ,2,2,2, , ,2,2,3,2, ,1941,7,1,1, , ,2,2,2,2,4,1,0.368967875
47899,2,EN,6,2,5,1,5,1, ,2,2,2,4,4,4,4,2,2,1, ,2,1,6,7, ,4,2,4,1,1,1,2,2,2,1,2,2,3,2, ,1995,3,2,1, , ,2,2,2,7,2,3,1.501658467
47943,1,FR,5,2,7,4,4, ,1,5,1,3,3,3,4,3,2,2,1,3, ,7,6,7,7, ,4,3,1,1,1,2,2,3,26,2,4,1,2, ,1961,6,1,2, , ,2,2,2,4,4,2,0.838231238
47949,2,EN,6,2,6,5,4, ,1,3,2,3,2,2,3,2,3,2,1, ,1,5,4,6, ,7,2,2,1,2,1,2,1,2,1,1,2,3,1,1,1965,6,2,1, , ,1,2,2,7,4,3,1.209473778
48109,1,EN,10,3,5,3,4,3, ,3,1,3,3,3,4,4,3,2,1, ,2,7,5,4, ,1,3,3,1,2,1,2,2,3,2,1,2,3,1,1,1955,7,1,1, , ,2,2,2,6,4,5,0.963680978
48299,1,FR,5,3,6,7,7, ,5,5,98,1,3,3,3,3,1,1,2, , , , , , , , , , , ,2,2,2, , ,2,98,3,2, ,1955,7,1,2, , ,2,2,2,1,4,2,0.838231238
48413,1,EN,6,3,5,7,6,6, ,4,2,2,2,2,2,2,2,2,1,3, ,5,1,4, ,5,2,1,2,2,2,2,2,3,1,2,4,2,2, ,1959,6,1,1, , ,2,2,99,99,4,3,1.191530466
48604,1,FR,5,2,6,6,6,5, ,6,2,2,3,3,2,3,4,2,1, ,4,6,6,7, ,6,3,1,2,2,1,2,2,3,3,2,98,3,2, ,1943,7,1,2, , ,2,2,2,1,4,2,0.838231238
48925,2,EN,10,3,6,1,2, ,3,2,2,2,3,3,4,3,3,2,1, ,2,7,6,7, ,6,4,3,2,2,2,2,2,2,1,2,3,1,2, ,1957,7,1,1, , ,2,2,2,2,4,5,0.963680978
48951,2,EN,5,4,7,3,3,3, ,1,2,4,4,4,4,4,3,3,1, ,1,7,1,7, ,1,3,3,1,1,1,1,2,3,1,2,4,1,2, ,9999,3,2,1, , ,2,2,1,6,2,2,1.578553362
49007,2,FR,5,1,7,5,7, ,7,3,2,1,2,3,3,3,1,1,1, ,3,1,7,7, ,7,4,4,2,1,1,1,1,1, ,2,1,1,2, ,1993,3,2,2, , ,2,2,2,7,2,2,1.578553362
49111,2,FR,5,98,3,98,98, ,3,3,2,2,3,3,3,3,98,2,1, ,3,7,3,6, ,2,2,4,1,2,2,2,2,3,1,1,2,1,2, ,1990,3,2,2, , ,2,2,2,4,2,2,1.578553362
49181,2,FR,5,1,7,7,6, ,5,7,1,3,3,3,4,2,3,3,1, ,1,7,7,7, ,7,3,3,1,1,1,1,1,1, ,1,4,1,1,88,1996,3,2,2, , ,2,2,2,6,2,2,1.578553362
49270,1,EN,6,4,7,5,6, ,2,5,1,1,98,2,99,2,2,2,2, , , , , , , , , , , ,1,2,2, , ,2,1,3,2, ,9999,7,1,1, , ,2,2,1,1,4,3,1.191530466
49285,1,EN,9,2,5,5,5, ,2,6,1,2,2,3,3,3,3,3,1, ,2,5,4,6, ,5,3,3,1,2,1,2,2,2,1,1,2,3,2, ,1965,6,1,1, , ,2,2,2,4,4,4,0.520980832
49496,1,EN,10,2,4,6,6,5, ,6,1,2,3,2,4,2,2,2,1,1, ,5,4,3,4, ,1,1,1,1,1,1,1,2,26,1,2,3,1,28,1960,6,2,1, , ,2,2,2,4,4,5,0.996874362
49609,2,EN,9,2,4,4,4,3, ,3,2,1,3,2,4,4,1,3,1,3, ,6,6,6,6, ,4,2,97,1,1,1,1,3,1,2,4,3,2, ,1943,7,2,1, , ,2,2,2,3,4,4,0.53089607
49849,1,EN,3,2,5,2,2,2, ,2,2,1,3,2,4,2,2,2,1,4, ,6,2,6,2, ,2,2,2,2,2,2,2,3,2,2,4,3,2, ,1949,7,1,2, , ,2,2,2,4,4,1,0.368967875
49903,1,FR,5,2,5,6,6, ,5,5,98,2,2,2,3,3,2,2,1,3, ,3,4,1,4, ,3,3,2,2,1,2,2,2,26,2,1,3,2, ,1952,7,1,2, , ,2,2,2,7,4,2,0.838231238
49960,1,EN,4,4,1,7,7,7, ,7,98,2,98,2,98,98,1,1,1, ,98,98,98,98, ,98,4,2,97,97,2,2,2,98, ,2,4,3,2, ,1941,7,1,1,2, ,1,2,2,1,4,1,0.368967875
50235,1,EN,2,2,7,4,2, ,3,1,1,2,3,2,4,3,2,3,1,2, ,6,6,7,4, ,4,4,1,1,1,2,1,2,23,1,2,1,2, ,1970,5,1,1, , ,1,2,2,5,3,1,0.47441061
50361,1,EN,6,4,1,1,1,98, ,98,2,2,3,3,3,3,3,2,2, , , , , , , , , , , ,1,2,2, , ,2,2,3,1,2,1946,7,2,1, , ,2,2,1,7,4,3,1.209473778
50365,1,EN,9,3,2,2,1,2, ,2,2,3,3,3,4,4,3,3,1,4, ,1,2,2,2, ,2,97,2,97,2,2,2,3,21,2,3,2,2, ,1937,7,2,1, , ,2,2,2,7,4,4,0.53089607
50417,2,EN,6,2,7,6,6, ,7,6,1,1,2,2,2,2,1,1,1, ,5,7,6,7, ,7,4,4,1,1,1,1,1,1, ,1,1,2,2, ,1993,3,1,3, , ,2,2,1,7,2,3,2.188165041
50523,2,FR,5,2,7,4,5,7, ,5,2,2,3,2,4,3,1,2,1,3, ,7,5,7,5, ,2,2,1,1,1,2,1,3,1,1,1,3,2, ,1967,6,1,2, , ,2,2,2,2,4,2,0.838231238
50680,1,EN,9,3,5,6,6,5, ,4,1,2,3,3,3,3,2,2,1, ,3,6,2,7,2, ,3,3,1,1,1,2,2,1, ,2,2,3,1,22,1964,6,1,1, , ,2,2,2,4,4,4,0.520980832
50804,1,EN,6,4,7,1,7,7, ,98,2,3,4,3,4,4,1,4,1,1, ,7,7,7, ,7,4,4,97,97,1,2,2,98, ,2,1,1,2, ,1954,7,1,1, , ,2,2,99,1,4,3,1.191530466
50875,1,EN,9,1,5,4,3,3, ,4,2,2,2,2,4,4,1,2,1, ,3,6,5,6, ,5,97,4,1,1,1,1,1,2,1,1,1,3,2, ,1950,7,1,1, , ,2,2,2,2,4,4,0.520980832
51051,2,EN,9,3,4,2,2, ,3,1,2,2,3,3,3,3,1,2,1,2, ,5,3,4,3, ,3,2,1,1,2,1,2,3,1,1,3,1,2, ,1993,3,2,1, , ,2,2,2,5,2,4,0.928079339
51123,2,EN,9,4,5,5,5, ,5,5,1,2,2,2,4,3,2,2,1,1, ,7,5,5,5, ,4,4,2,2,2,2,2,2,1,1,2,3,2, ,1975,5,1,1, , ,2,2,2,4,3,4,0.812216396
51152,2,EN,3,4,1,2,2, ,5,5,2,2,3,3,3,3,2,2,1, ,4,3,2,5, ,3,4,3,1,1,1,1,2,3,3,2,4,2,2, ,1978,4,2,1, , ,2,2,2,7,3,1,0.811720275
51215,1,EN,3,1,7,7,5, ,1,1,2,2,4,2,4,4,2,3,1,1, ,7,7,7,7, ,4,4,1,2,1,2,2,1, ,1,1,1,1,98,1949,7,1,1, , ,1,2,2,4,4,1,0.368967875
51360,1,EN,6,2,7,3,3, ,1,5,2,2,4,2,2,4,2,2,1, ,2,7,98,7, ,4,3,3,2,2,1,2,1,3,3,1,2,1,2, ,1970,5,2,1, , ,2,2,2,1,3,3,1.312715615
51395,2,EN,8,2,5,5,5,6, ,5,1,2,2,2,3,3,2,2,1,1, ,6,4,5,6, ,4,2,1,1,1,1,1,2,1,1,1,3,2, ,9999,4,2,1, , ,2,2,2,3,3,4,0.808889158
51486,2,EN,9,4,7,7,7, ,2,1,1,2,3,4,4,4,2,98,1, ,1,7,7,7, ,7,4,4,99,99,99,99,99,3,3,1,4,98,2, ,9999,7,2,1, , ,2,2,2,2,4,4,0.53089607
51487,2,EN,6,3,6,4,4,7, ,7,98,2,3,2,3,2,2,2,1,1, ,1,1,7,7, ,4,4,1,2,1,1,1,2,3,1,3,3,2, ,1994,3,2,2, , ,2,2,2,4,2,3,1.501658467
51550,2,EN,4,2,7,6,6,4, ,5,1,3,3,4,4,3,2,2,1,1, ,7,7,7,7, ,4,2,1,1,1,2,1,2,20,1,2,1,2, ,1960,6,2,1, , ,1,2,2,4,4,1,0.378719786
51567,2,EN,9,1,7,7,4, ,7,4,2,1,2,2,4,2,2,1,1, ,98,5,6,7, ,5,4,2,1,2,1,2,1,2,1,2,1,1,2, ,1976,5,1,3, , ,2,2,2,6,3,4,0.812216396
51614,2,EN,6,2,7,5,5,2, ,4,1,3,3,2,4,3,3,2,1, ,3,6,6,7, ,6,4,1,1,1,1,1,1,3,1,1,2,1,2, ,1970,5,1,1, , ,1,2,1,4,3,3,1.470244686
52025,2,EN,5,3,5,3,3, ,5,2,2,3,2,3,3,2,3,2,1, ,1,4,5,6, ,5,1,2,2,2,2,2,2,2,1,2,1,3,2, ,1950,7,2,1, , ,1,2,2,3,4,2,0.869944987
52161,1,FR,5,1,7,7,5, ,7,5,1,2,3,2,2,2,3,2,1,5, ,5,4,4,5, ,2,4,2,2,1,2,2,2,1,2,1,2,2, ,1949,7,2,2, , ,2,2,2,2,4,2,0.869944987
52252,2,EN,10,2,7,7,5,7, ,7,1,3,3,4,4,4,3,4,1,2, ,5,5,5,5, ,1,4,2,2,2,2,2,2,3,2,3,2,2, ,1957,7,2,1, , ,1,2,2,2,4,5,0.996874362
52564,2,EN,10,3,1,4,1, ,7,2,2,2,2,2,3,2,2,1,1, ,2,7,7,7, ,98,2,2,1,2,2,2,2,1, ,1,2,1,2, ,1983,4,1,1, , ,2,2,2,3,3,5,1.068919838
52642,1,EN,3,2,7,2,1, ,4,1,2,1,2,2,4,4,1,1,1, ,1,7,7,7, ,1,98,4,97,1,1,1,2,1, ,98,1,2,1,98,9999,7,1,1, , ,2,2,2,6,4,1,0.368967875
52761,2,EN,4,4,7,7,7,7, ,1,2,3,3,3,3,3,4,2,1,1, ,5,5,7,7, ,4,4,1,1,2,2,2,3,1,2,1,1,2, ,9999,4,2,1, , ,1,2,2,2,3,1,0.811720275
52795,1,FR,5,2,7,4,4, ,1,4,2,3,2,3,4,3,2,2,1,1, ,4,4,1,4, ,1,1,1,2,1,2,2,3,3,1,4,3,2, ,1975,5,2,2, , ,2,2,1,7,3,2,0.853296791
52971,1,EN,8,2,6,6,7,1, ,6,2,2,4,4,4,3,2,2,1,3, ,6,2,2,98, ,3,3,1,1,1,1,1,2,23,2,4,3,2, ,1948,7,1,1, , ,2,2,2,5,4,4,0.520980832
53056,1,EN,2,3,7,5,7,3, ,5,1,3,4,2,4,4,3,1,1, ,3,7,5,7, ,5,4,4,1,1,1,2,2,3,1,1,2,1,1,2,1953,7,2,1, , ,2,2,2,2,4,1,0.378719786
53078,2,EN,10,2,5,4,4, ,3,2,2,3,3,4,4,4,4,2,1, ,3,6,5,6, ,5,4,4,1,2,1,1,2,1, ,2,1,1,2, ,1987,4,1,1, , ,2,2,2,4,3,5,1.068919838
53089,2,EN,5,2,2,7,7, ,7,7,2,1,1,98,1,1,1,1,1,1, ,7,7,5,7, ,1,1,2,1,1,2,2,1, ,2,1,1,1,98,1999,2,2,3,1, ,2,2,2,4,1,2,1.208742895
53156,2,EN,9,2,7,5,7,6, ,5,1,2,3,2,3,3,2,4,1,1, ,7,7,7,7, ,4,3,1,2,1,2,2,2,1,2,2,1,2, ,9999,5,1,1, , ,2,1, ,2,3,4,0.812216396
